year,plant_id,plant_name_gen,operator_name_gen,operator_id_gen,net_generation_mwh,plant_name_cap,operator_name_cap,operator_id_cap,state,nameplate_mw,summer_mw,capacity_mwh,capacity_utilization,minimum_year
2013,57835,Alta Wind VIII,Brookfield Renewable Energy Group,57336,285358,Alta Wind VIII,Brookfield Renewable Energy Group,57336,CA,150,150,1314000,0.217167428,2012
2014,57835,Alta Wind VIII,Brookfield Energy Marketing LP,11556,282719,Alta Wind VIII,Brookfield Energy Marketing LP,11556,CA,150,150,1314000,0.215159056,2012
2015,57835,Alta Wind VIII,Brookfield Energy Marketing LP,11556,231524,Alta Wind VIII,Brookfield Energy Marketing LP,11556,CA,150,150,1314000,0.176197869,2012
2014,58394,Alta Wind X,Terra-Gen Operating Co LLC,2770,328080,Alta Wind X,Terra-Gen Operating Co LLC,2770,CA,138,138,1208880,0.271391701,2014
2015,58394,Alta Wind X,Terra-Gen Operating Co LLC,2770,309408,Alta Wind X,Terra-Gen Operating Co LLC,2770,CA,138,138,1208880,0.255946,2014
2014,58395,Alta Wind XI,Terra-Gen Operating Co LLC,2770,249985,Alta Wind XI,Terra-Gen Operating Co LLC,2770,CA,90,90,788400,0.317078894,2014
2015,58395,Alta Wind XI,Terra-Gen Operating Co LLC,2770,222142,Alta Wind XI,Terra-Gen Operating Co LLC,2770,CA,90,90,788400,0.281763064,2014
2012,50300,AltaGas Pomona Energy Inc.,AltaGas Pomona Energy Inc.,54736,127233,San Gabriel Facility,Ripon Cogeneration LLC,54736,CA,46,39,341640,0.372418335,1985
2015,50300,AltaGas Pomona Energy Inc.,AltaGas Pomona Energy Inc.,54736,103358,AltaGas Pomona Energy Inc.,AltaGas Pomona Energy Inc.,54736,CA,46,40,350400,0.294971461,1985
2012,50299,AltaGas Ripon Energy Inc.,AltaGas Ripon Energy Inc.,60134,129054,Ripon Mill,Ripon Cogeneration LLC,54736,CA,49.5,46.5,407340,0.316821329,1988
2015,50299,AltaGas Ripon Energy Inc.,AltaGas Ripon Energy Inc.,60134,46707,AltaGas Ripon Energy Inc.,AltaGas Ripon Energy Inc.,60134,CA,49.5,46.1,403836,0.115658337,1988
2001,50571,Altamont Gas Recovery,WM Renewable Energy LLC,54842,38814,Altamont Gas Recovery,Bio-Energy Partners,1687,CA,6,5.8,50808,0.763934813,1969
2002,50571,Altamont Gas Recovery,WM Renewable Energy LLC,54842,40727,Altamont Gas Recovery,Bio-Energy Partners,1687,CA,8.6,8.4,73584,0.553476299,1969
2003,50571,Altamont Gas Recovery,WM Renewable Energy LLC,54842,39317.001,Altamont Gas Recovery,Bio-Energy Partners,1687,CA,8.6,8.4,73584,0.534314538,1969
2004,50571,Altamont Gas Recovery,WM Renewable Energy LLC,54842,41466.003,Altamont Gas Recovery,Bio-Energy Partners,1687,CA,8.6,8.4,73584,0.563519284,1969
2005,50571,Altamont Gas Recovery,WM Renewable Energy LLC,54842,49568.999,Altamont Gas Recovery,WM Renewable Energy LLC,54842,CA,8.6,8.4,73584,0.673638277,1969
2006,50571,Altamont Gas Recovery,WM Renewable Energy LLC,54842,53654.998,Altamont Gas Recovery,WM Renewable Energy LLC,54842,CA,8.6,8.4,73584,0.729166639,1969
2007,50571,Altamont Gas Recovery,WM Renewable Energy LLC,54842,48729,Altamont Gas Recovery,WM Renewable Energy LLC,54842,CA,8.6,8.4,73584,0.662222766,1969
2008,50571,Altamont Gas Recovery,WM Renewable Energy LLC,54842,48149,Altamont Gas Recovery,WM Renewable Energy LLC,54842,CA,8.6,8.4,73584,0.654340618,1969
2009,50571,Altamont Gas Recovery,WM Renewable Energy LLC,54842,43646,Altamont Gas Recovery,WM Renewable Energy LLC,54842,CA,8.6,8.4,73584,0.593145249,1969
2010,50571,Altamont Gas Recovery,WM Renewable Energy LLC,54842,50141,Altamont Gas Recovery,WM Renewable Energy LLC,54842,CA,8.6,8.4,73584,0.68141172,1969
2011,50571,Altamont Gas Recovery,WM Renewable Energy LLC,54842,55121,Altamont Gas Recovery,WM Renewable Energy LLC,54842,CA,8.6,8.4,73584,0.749089476,1969
2012,50571,Altamont Gas Recovery,WM Renewable Energy LLC,54842,53761,Altamont Gas Recovery,WM Renewable Energy LLC,54842,CA,8.6,8.4,73584,0.730607197,1969
2013,50571,Altamont Gas Recovery,WM Renewable Energy LLC,54842,52075,Altamont Gas Recovery,WM Renewable Energy LLC,54842,CA,8.6,8.4,73584,0.707694608,1969
2014,50571,Altamont Gas Recovery,WM Renewable Energy LLC,54842,52075,Altamont Gas Recovery,WM Renewable Energy LLC,54842,CA,8.6,8.4,73584,0.707694608,1969
2015,50571,Altamont Gas Recovery,WM Renewable Energy LLC,54842,48598,Altamont Gas Recovery,WM Renewable Energy LLC,54842,CA,8.6,8.4,73584,0.660442487,1969
2001,50001,Altamont Midway Ltd,AES Wind Generation Inc,19740,18972,Altamont Midway Ltd,Altamont-Midway Ltd,22244,CA,10.9,10.9,95484,0.198692975,1984
2002,50001,Altamont Midway Ltd,AES Wind Generation Inc,19740,17316,Altamont Midway Ltd,Altamont-Midway Ltd,22244,CA,10.9,10.9,95484,0.181349755,1984
2003,50001,Altamont Midway Ltd,AES Wind Generation Inc,19740,16345,Altamont Midway Ltd,Altamont-Midway Ltd,22244,CA,10.9,10.9,95484,0.171180512,1984
2004,50001,Altamont Midway Ltd,AES Wind Generation Inc,19740,1634.001,Altamont Midway Ltd,Seawest Windpower Inc,22244,CA,10.9,10.9,95484,0.017112825,1984
2005,50001,Altamont Midway Ltd,AES Wind Generation Inc,19740,12980,Altamont Midway Ltd,AES SeaWest Inc,19740,CA,10.9,10.9,95484,0.135939005,1984
2006,50001,Altamont Midway Ltd,AES Wind Generation Inc,19740,11579,Altamont Midway Ltd,AES SeaWest Inc,19740,CA,10.9,10.9,95484,0.12126639,1984
2007,50001,Altamont Midway Ltd,AES Wind Generation Inc,19740,16664.998,Altamont Midway Ltd,AES Wind Generation Inc,19740,CA,10.9,10.9,95484,0.174531838,1984
2008,50001,Altamont Midway Ltd,AES Wind Generation Inc,19740,11872,Altamont Midway Ltd,AES Wind Generation Inc,19740,CA,10.9,10.9,95484,0.124334967,1984
2009,50001,Altamont Midway Ltd,AES Wind Generation Inc,19740,13904,Altamont Midway Ltd,AES Wind Generation Inc,19740,CA,10.9,10.9,95484,0.145616019,1984
2010,50001,Altamont Midway Ltd,AES Wind Generation Inc,19740,7400,Altamont Midway Ltd,AES Wind Generation Inc,19740,CA,10.9,10.9,95484,0.077499895,1984
2011,50001,Altamont Midway Ltd,AES Wind Generation Inc,19740,9054,Altamont Midway Ltd,AES Wind Generation Inc,19740,CA,10.9,10.9,95484,0.094822169,1984
2012,50001,Altamont Midway Ltd,"New Dimension Energy Company, LLC",59099,0,Altamont Midway Ltd,AES Wind Generation Inc,19740,CA,10.9,10.9,95484,0,1984
2014,50001,Altamont Midway Ltd,"New Dimension Energy Company, LLC",59099,9275,Altamont Midway Ltd,"New Dimension Energy Company, LLC",59099,CA,10.9,10.9,95484,0.097136693,1984
2015,50001,Altamont Midway Ltd,"Sustainable Power Group, LLC",58661,0,Altamont Midway Ltd,"New Dimension Energy Company, LLC",59099,CA,10.9,10.9,95484,0,1984
2001,50712,Altamont Pass Windplant,Kenetech Windpower Inc,10127,652988,Altamont Pass Windplant,Kenetech Windpower Inc,10127,CA,332.5,332.5,2912700,0.224186494,
2002,50712,Altamont Pass Windplant,Kenetech Windpower Inc,10127,702494,Altamont Pass Windplant,Kenetech Windpower Inc,10127,CA,332.5,332.5,2912700,0.241183095,
2003,50712,Altamont Pass Windplant,Kenetech Windpower Inc,10127,648967,Altamont Pass Windplant,Kenetech Windpower Inc,10127,CA,332.5,332.5,2912700,0.222805988,
2004,50712,Altamont Pass Windplant,Kenetech Windpower Inc,10127,743907,Altamont Pass Windplant,Kenetech Windpower Inc,10127,CA,332.5,332.5,2912700,0.255401174,
2005,50712,Altamont Pass Windplant,Kenetech Windpower Inc,10127,542054,Altamont Pass Windplant,Kenetech Windpower Inc,10127,CA,332.5,332.5,2912700,0.186100182,
2006,50712,Altamont Pass Windplant,Kenetech Windpower Inc,10127,581166,Altamont Pass Windplant,Kenetech Windpower Inc,10127,CA,332.5,332.5,2912700,0.199528273,
2007,50712,Altamont Pass Windplant,Kenetech Windpower Inc,10127,682450,Altamont Pass Windplant,Kenetech Windpower Inc,10127,CA,332.5,332.5,2912700,0.234301507,
2008,50712,Altamont Pass Windplant,Kenetech Windpower Inc,10127,578352,Altamont Pass Windplant,Kenetech Windpower Inc,10127,CA,332.5,332.5,2912700,0.198562159,
2009,50712,Altamont Pass Windplant,Kenetech Windpower Inc,10127,569260,Altamont Pass Windplant,Kenetech Windpower Inc,10127,CA,332.5,332.5,2912700,0.195440656,
2010,50712,Altamont Pass Windplant,Kenetech Windpower Inc,10127,506809,Altamont Pass Windplant,Kenetech Windpower Inc,10127,CA,332.5,332.5,2912700,0.173999725,
2011,50712,Altamont Pass Windplant,Kenetech Windpower Inc,10127,426801,Altamont Pass Windplant,Kenetech Windpower Inc,10127,CA,332.5,332.5,2912700,0.146531054,
2012,50712,Altamont Pass Windplant,Kenetech Windpower Inc,10127,379143,Altamont Pass Windplant,Kenetech Windpower Inc,10127,CA,332.5,332.5,2912700,0.130168915,
2013,50712,Altamont Pass Windplant,Kenetech Windpower Inc,10127,381192,Altamont Pass Windplant,Kenetech Windpower Inc,10127,CA,332.5,332.5,2912700,0.130872386,
2014,50712,Altamont Pass Windplant,Kenetech Windpower Inc,10127,339513,Altamont Pass Windplant,Kenetech Windpower Inc,10127,CA,332.5,332.5,2912700,0.116562983,
2001,10581,Altamont Power LLC,Altamont Power LLC,402,9693,Altamont Power LLC,Altamont Power LLC,402,CA,28.7,28.7,251412,0.038554246,
2002,10581,Altamont Power LLC,Altamont Power LLC,402,6371,Altamont Power LLC,Altamont Power LLC,402,CA,28.7,28.7,251412,0.025340875,
2003,10581,Altamont Power LLC,Altamont Power LLC,402,3524,Altamont Power LLC,Altamont Power LLC,402,CA,28.7,28.7,251412,0.014016833,
2004,10581,Altamont Power LLC,Altamont Power LLC,402,239,Altamont Power LLC,Altamont Power LLC,402,CA,28.7,28.7,251412,0.000950631,
2001,50818,Altech,AES Wind Generation Inc,19740,9169,Altech,Venture Pacific Inc,22532,CA,5.7,5.7,49932,0.183629736,1983
2002,50818,Altech,AES Wind Generation Inc,19740,8197.002,Altech,Venture Pacific Inc,22532,CA,5.7,5.7,49932,0.164163302,1983
2003,50818,Altech,AES Wind Generation Inc,19740,4408,Altech,Venture Pacific Inc,22532,CA,5.7,5.7,49932,0.088280061,1983
2004,50818,Altech,AES Wind Generation Inc,19740,9672.001,Altech,Seawest Windpower Inc,22244,CA,5.7,5.7,49932,0.193703457,1983
2005,50818,Altech,AES Wind Generation Inc,19740,5080.001,Altech,AES SeaWest Inc,19740,CA,5.7,5.7,49932,0.101738384,1983
2006,50818,Altech,AES Wind Generation Inc,19740,10382.997,Altech,AES SeaWest Inc,19740,CA,5.7,5.7,49932,0.207942742,1983
2007,50818,Altech,AES Wind Generation Inc,19740,13700,Altech,AES Wind Generation Inc,19740,CA,5.7,5.7,49932,0.274373147,1983
2008,50818,Altech,AES Wind Generation Inc,19740,9209,Altech,AES Wind Generation Inc,19740,CA,5.7,5.7,49932,0.184430826,1983
2009,50818,Altech,AES Wind Generation Inc,19740,7590,Altech,AES Wind Generation Inc,19740,CA,5.7,5.7,49932,0.152006729,1983
2010,50818,Altech,AES Wind Generation Inc,19740,12252,Altech,AES Wind Generation Inc,19740,CA,10.5,10.5,91980,0.13320287,1983
2011,50818,Altech,AES Wind Generation Inc,19740,9054,Altech,AES Wind Generation Inc,19740,CA,10.5,10.5,91980,0.098434442,1983
2001,50485,Altech III,AES Wind Generation Inc,19740,64513,Altech III,VPI Enterprise Inc,19908,CA,25.1,25.1,219876,0.293406284,1984
2002,50485,Altech III,AES Wind Generation Inc,19740,57994,Altech III,VPI Enterprise Inc,19908,CA,25.1,25.1,219876,0.263757754,1984
2003,50485,Altech III,AES Wind Generation Inc,19740,45124,Altech III,VPI Enterprise Inc,19908,CA,25.1,25.1,219876,0.205224763,1984
2004,50485,Altech III,AES Wind Generation Inc,19740,46056,Altech III,AES SeaWest Inc,19740,CA,25.1,25.1,219876,0.209463516,1984
2005,50485,Altech III,AES Wind Generation Inc,19740,46170,Altech III,AES SeaWest Inc,19740,CA,25.1,25.1,219876,0.20998199,1984
2006,50485,Altech III,AES Wind Generation Inc,19740,44593,Altech III,AES SeaWest Inc,19740,CA,25.1,25.1,219876,0.202809766,1984
2007,50485,Altech III,AES Wind Generation Inc,19740,49380,Altech III,AES Wind Generation Inc,19740,CA,25.1,25.1,219876,0.224581128,1984
2008,50485,Altech III,AES Wind Generation Inc,19740,44088,Altech III,AES Wind Generation Inc,19740,CA,25.1,25.1,219876,0.200513016,1984
2009,50485,Altech III,AES Wind Generation Inc,19740,44605,Altech III,AES Wind Generation Inc,19740,CA,25.1,25.1,219876,0.202864342,1984
2010,50485,Altech III,AES Wind Generation Inc,19740,45163,Altech III,AES Wind Generation Inc,19740,CA,25.1,25.1,219876,0.205402136,1984
2011,50485,Altech III,AES Wind Generation Inc,19740,45575,Altech III,AES Wind Generation Inc,19740,CA,25.1,25.1,219876,0.207275919,1984
2012,50485,Altech III,"New Dimension Energy Company, LLC",59099,39366,Altech III,AES Wind Generation Inc,19740,CA,25.1,25.1,219876,0.179037276,1984
2013,50485,Altech III,AES Wind Generation Inc,19740,37657,Altech III,AES Wind Generation Inc,19740,CA,25.1,25.1,219876,0.171264713,1984
2014,50485,Altech III,AES Wind Generation Inc,19740,37867,Altech III,AES Wind Generation Inc,19740,CA,25.1,25.1,219876,0.172219797,1984
2015,50485,Altech III,"New Dimension Energy Company, LLC",59099,28752,Altech III,"New Dimension Energy Company, LLC",59099,CA,25.1,25.1,219876,0.130764613,1984
2001,54242,Alvarado Hydro Facility,San Diego County Water Auth,27075,5971,Alvarado Hydro,San Diego County Water Auth,27075,CA,2.1,2,17520,0.340810502,
2002,54242,Alvarado Hydro Facility,San Diego County Water Auth,27075,4945.999,Alvarado Hydro Facility,San Diego County Water Auth,27075,CA,2.1,1.2,10512,0.470509798,
2003,54242,Alvarado Hydro Facility,San Diego County Water Auth,27075,299,Alvarado Hydro Facility,San Diego County Water Auth,27075,CA,2.1,1.4,12264,0.0243803,
2004,54242,Alvarado Hydro Facility,San Diego County Water Auth,27075,3726.999,Alvarado Hydro Facility,San Diego County Water Auth,27075,CA,2.1,1.4,12264,0.303897505,
2005,54242,Alvarado Hydro Facility,San Diego County Water Auth,27075,2497,Alvarado Hydro Facility,San Diego County Water Auth,27075,CA,2.1,1.4,12264,0.203604044,
2006,54242,Alvarado Hydro Facility,San Diego County Water Auth,27075,1875.999,Alvarado Hydro Facility,San Diego County Water Auth,27075,CA,2.1,1.4,12264,0.152967955,
2014,59800,Amazon San Bernardino,Bloom Energy,57128,801,Amazon San Bernardino,Bloom Energy,57128,CA,1.1,1,8760,0.091438356,2014
2015,59800,Amazon San Bernardino,Bloom Energy,57128,8699,Amazon San Bernardino,Bloom Energy,57128,CA,1.1,1,8760,0.99303653,2014
2001,50964,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,23355.001,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,CA,3,2.8,24528,0.952177144,1988
2002,50964,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,22518.99,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,CA,3,2.2,19272,1.168482254,1988
2003,50964,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,2,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,CA,3,2.2,19272,0.000103778,1988
2006,50964,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,5091,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,CA,3,2.2,19272,0.264165629,1988
2007,50964,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,4877,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,CA,3,2.2,19272,0.253061436,1988
2008,50964,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,4539,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,CA,3,2.2,19272,0.235523039,1988
2009,50964,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,3699,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,CA,3,2.2,19272,0.191936488,1988
2010,50964,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,1048,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,CA,3,2.2,19272,0.054379411,1988
2011,50964,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,2782,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,CA,3,2.2,19272,0.144354504,1988
2012,50964,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,3113,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,CA,3,2.2,19272,0.16152968,1988
2013,50964,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,1585,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,CA,3,2.2,19272,0.08224367,1988
2014,50964,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,1525,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,CA,3,2.2,19272,0.079130345,1988
2015,50964,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,0,Amedee Geothermal Venture I,Amedee Gethrm Venture I LP,472,CA,3,2.2,19272,0,1988
2014,57771,Ameresco Butte County,Ameresco Butte County LLC,57079,15880,Ameresco Butte County,Ameresco Butte County LLC,57079,CA,2.3,2,17520,0.906392694,2013
2015,57771,Ameresco Butte County,Ameresco Butte County LLC,57079,14430,Ameresco Butte County,Ameresco Butte County LLC,57079,CA,2.3,2,17520,0.823630137,2013
2010,56898,AMERESCO Chiquita Canyon,AMERESCO Chiquita Canyon LLC,56104,5397,AMERESCO Chiquita Canyon,AMERESCO Chiquita Canyon LLC,56104,CA,9.2,8,70080,0.077011986,2010
2011,56898,AMERESCO Chiquita Canyon,AMERESCO Chiquita Canyon LLC,56104,42680,AMERESCO Chiquita Canyon,AMERESCO Chiquita Canyon LLC,56104,CA,9.2,8,70080,0.609018265,2010
2012,56898,Ameresco Chiquita Canyon,AMERESCO Chiquita Canyon LLC,56104,44058,AMERESCO Chiquita Canyon,AMERESCO Chiquita Canyon LLC,56104,CA,9.2,8,70080,0.628681507,2010
2013,56898,AMERESCO Chiquita Canyon,AMERESCO Chiquita Canyon LLC,56104,48962,AMERESCO Chiquita Canyon,AMERESCO Chiquita Canyon LLC,56104,CA,9.2,8,70080,0.698658676,2010
2014,56898,Ameresco Chiquita Canyon,AMERESCO Chiquita Canyon LLC,56104,43807,Ameresco Chiquita Canyon,AMERESCO Chiquita Canyon LLC,56104,CA,9.2,8,70080,0.625099886,2010
2015,56898,Ameresco Chiquita Canyon,AMERESCO Chiquita Canyon LLC,56104,46983,Ameresco Chiquita Canyon,AMERESCO Chiquita Canyon LLC,56104,CA,9.2,8,70080,0.670419521,2010
2014,58437,Ameresco Forward,"Ameresco Forward, LLC",58433,19044,Ameresco Forward,"Ameresco Forward, LLC",58433,CA,4.4,4.2,36792,0.517612524,2014
2015,58437,Ameresco Forward,"Ameresco Forward, LLC",58433,31104,Ameresco Forward,"Ameresco Forward, LLC",58433,CA,4.4,4.2,36792,0.845401174,2014
2013,58397,Ameresco Johnson Canyon,Ameresco Johnson Canyon LLC,58382,7616,Ameresco Johnson Canyon,Ameresco Johnson Canyon LLC,58382,CA,1.4,1.4,12264,0.621004566,2013
2014,58397,Ameresco Johnson Canyon,Ameresco Johnson Canyon LLC,58382,7831,Ameresco Johnson Canyon,Ameresco Johnson Canyon LLC,58382,CA,1.4,1.4,12264,0.638535551,2013
2015,58397,Ameresco Johnson Canyon,Ameresco Johnson Canyon LLC,58382,10189,Ameresco Johnson Canyon,Ameresco Johnson Canyon LLC,58382,CA,1.4,1.4,12264,0.83080561,2013
2009,56897,AMERESCO Keller Canyon,AMERESCO Keller Canyon LLC,56103,11731,AMERESCO Keller Canyon,AMERESCO Keller Canyon LLC,56103,CA,3.8,3.6,31536,0.37198757,2009
2010,56897,AMERESCO Keller Canyon,AMERESCO Keller Canyon LLC,56103,29841,AMERESCO Keller Canyon,AMERESCO Keller Canyon LLC,56103,CA,3.8,3.6,31536,0.946251903,2009
2011,56897,AMERESCO Keller Canyon,AMERESCO Keller Canyon LLC,56103,30508,AMERESCO Keller Canyon,AMERESCO Keller Canyon LLC,56103,CA,3.8,3.6,31536,0.967402334,2009
2012,56897,Ameresco Keller Canyon,AMERESCO Keller Canyon LLC,56103,30170,AMERESCO Keller Canyon,AMERESCO Keller Canyon LLC,56103,CA,3.8,3.6,31536,0.956684424,2009
2013,56897,AMERESCO Keller Canyon,AMERESCO Keller Canyon LLC,56103,28821,AMERESCO Keller Canyon,AMERESCO Keller Canyon LLC,56103,CA,3.8,3.6,31536,0.913907915,2009
2014,56897,Ameresco Keller Canyon,AMERESCO Keller Canyon LLC,56103,29172,Ameresco Keller Canyon,AMERESCO Keller Canyon LLC,56103,CA,3.8,3.6,31536,0.925038052,2009
2015,56897,Ameresco Keller Canyon,AMERESCO Keller Canyon LLC,56103,25512,Ameresco Keller Canyon,AMERESCO Keller Canyon LLC,56103,CA,3.8,3.6,31536,0.808980213,2009
2008,56895,AMERESCO Ox Mountain,AMERESCO Ox Mountain Energy LLC,56101,77,AMERESCO Ox Mountain,AMERESCO Ox Mountain Energy LLC,56101,CA,11.4,10.8,94608,0.000813885,2008
2009,56895,AMERESCO Ox Mountain,AMERESCO Ox Mountain Energy LLC,56101,73725,AMERESCO Ox Mountain,AMERESCO Ox Mountain Energy LLC,56101,CA,11.4,10.8,94608,0.779268138,2008
2010,56895,AMERESCO Ox Mountain,AMERESCO Ox Mountain Energy LLC,56101,86935,AMERESCO Ox Mountain,AMERESCO Ox Mountain Energy LLC,56101,CA,11.4,10.8,94608,0.918896922,2008
2011,56895,AMERESCO Ox Mountain,AMERESCO Ox Mountain Energy LLC,56101,86481,AMERESCO Ox Mountain,AMERESCO Ox Mountain Energy LLC,56101,CA,11.4,10.8,94608,0.914098174,2008
2012,56895,Ameresco Ox Mountain,AMERESCO Ox Mountain Energy LLC,56101,89725,AMERESCO Ox Mountain,AMERESCO Ox Mountain Energy LLC,56101,CA,11.4,10.8,94608,0.948387029,2008
2013,56895,AMERESCO Ox Mountain,AMERESCO Ox Mountain Energy LLC,56101,85771,AMERESCO Ox Mountain,AMERESCO Ox Mountain Energy LLC,56101,CA,11.4,10.8,94608,0.906593523,2008
2014,56895,Ameresco Ox Mountain,AMERESCO Ox Mountain Energy LLC,56101,89078,Ameresco Ox Mountain,AMERESCO Ox Mountain Energy LLC,56101,CA,11.4,10.8,94608,0.941548283,2008
2015,56895,Ameresco Ox Mountain,AMERESCO Ox Mountain Energy LLC,56101,80297,Ameresco Ox Mountain,AMERESCO Ox Mountain Energy LLC,56101,CA,11.4,10.8,94608,0.848733722,2008
2014,58436,Ameresco San Joaquin,"Ameresco San Joaquin, LLC",58432,20616,Ameresco San Joaquin,"Ameresco San Joaquin, LLC",58432,CA,4.4,4.2,36792,0.560339204,2014
2015,58436,Ameresco San Joaquin,"Ameresco San Joaquin, LLC",58432,26019,Ameresco San Joaquin,"Ameresco San Joaquin, LLC",58432,CA,4.4,4.2,36792,0.707191781,2014
2006,56428,AMERESCO Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,19893,AMERESCO Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,CA,3,3,26280,0.75696347,2006
2007,56428,AMERESCO Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,20277,AMERESCO Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,CA,3,3,26280,0.771575342,2006
2008,56428,AMERESCO Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,20555,AMERESCO Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,CA,3,3,26280,0.782153729,2006
2009,56428,AMERESCO Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,18993,AMERESCO Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,CA,3,3,26280,0.722716895,2006
2010,56428,AMERESCO Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,20490,AMERESCO Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,CA,3,3,26280,0.779680365,2006
2011,56428,AMERESCO Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,19508,AMERESCO Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,CA,3,3,26280,0.742313546,2006
2012,56428,Ameresco Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,20211,AMERESCO Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,CA,3,3,26280,0.769063927,2006
2013,56428,AMERESCO Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,18098,AMERESCO Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,CA,3,3,26280,0.688660578,2006
2014,56428,Ameresco Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,17541,Ameresco Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,CA,3,3,26280,0.667465753,2006
2015,56428,Ameresco Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,17237,Ameresco Santa Cruz Energy,AMERESCO Santa Cruz Energy LLC,54814,CA,3,3,26280,0.655898021,2006
2014,58435,Ameresco Vasco Road,"Ameresco Vasco Road, LLC",58431,30279,Ameresco Vasco Road,"Ameresco Vasco Road, LLC",58431,CA,4.4,4.2,36792,0.822977821,2014
2015,58435,Ameresco Vasco Road,"Ameresco Vasco Road, LLC",58431,32486,Ameresco Vasco Road,"Ameresco Vasco Road, LLC",58431,CA,4.4,4.2,36792,0.882963688,2014
2001,10392,American Canyon Power Plant,Gas Recovery Systems Inc,25049,9326,American Canyon,Gas Recovery Systems Inc,25049,CA,1.6,1.4,12264,0.760437052,
2002,10392,American Canyon Power Plant,Gas Recovery Systems Inc,25049,19636.001,American Canyon Power Plant,Gas Recovery Systems Inc,25049,CA,1.6,1.4,12264,1.601109018,
2003,10392,American Canyon Power Plant,Gas Recovery Systems Inc,25049,11389.999,American Canyon Power Plant,Gas Recovery Systems Inc,25049,CA,1.6,1.4,12264,0.928734426,
2004,10392,American Canyon Power Plant,Gas Recovery Systems Inc,25049,10646.004,American Canyon Power Plant,Gas Recovery Systems Inc,25049,CA,1.6,1.4,12264,0.868069472,
2005,10392,American Canyon Power Plant,Gas Recovery Systems Inc,25049,10600,American Canyon Power Plant,Gas Recovery Systems Inc,25049,CA,1.6,1.4,12264,0.86431833,
2006,10392,American Canyon Power Plant,Gas Recovery Systems Inc,25049,11165,American Canyon Power Plant,Gas Recovery Systems Inc,25049,CA,1.6,1.4,12264,0.910388128,
2007,10392,American Canyon Power Plant,Gas Recovery Systems Inc,25049,8308,American Canyon Power Plant,Gas Recovery Systems Inc,25049,CA,1.6,1.4,12264,0.677429876,
2009,10392,American Canyon Power Plant,Gas Recovery Systems Inc,25049,6710,American Canyon Power Plant,Gas Recovery Systems Inc,25049,CA,1.6,1.4,12264,0.547129811,
2010,10392,American Canyon Power Plant,Gas Recovery Systems Inc,25049,5890,American Canyon Power Plant,Gas Recovery Systems Inc,25049,CA,1.6,1.4,12264,0.480267449,
